Location;Lisbon;Ulaanbaatar;Brussels;Reykjavik;Victoria;London;Conakry;Mbabane;Porto-Novo
Lisbon;0;8521.93317;1715.157554;2960.706246;8172.888127;1586.542513;3042.357442;8331.657474;3758.839534
Ulaanbaatar;8521.93317;0;6812.523638;6792.852993;7675.153119;6993.21723;11303.27271;11153.788;10528.60398
Brussels;1715.157554;6812.523638;0;2133.756729;7833.727289;322.8494468;4688.429454;8944.363016;4918.6942
Reykjavik;2960.706246;6792.852993;2133.756729;0;9851.91997;1894.445055;5835.492531;11035.88742;6696.592607
Victoria;8172.888127;7675.153119;7833.727289;9851.91997;0;8138.251124;8070.099455;3530.486278;5997.955891
London;1586.542513;6993.21723;322.8494468;1894.445055;8138.251124;0;4613.926397;9149.20041;4996.33599
Conakry;3042.357442;11303.27271;4688.429454;5835.492531;8070.099455;4613.926397;0;6588.293383;2086.359544
Mbabane;8331.657474;11153.788;8944.363016;11035.88742;3530.486278;9149.20041;6588.293383;0;4761.346862
Porto-Novo;3758.839534;10528.60398;4918.6942;6696.592607;5997.955891;4996.33599;2086.359544;4761.346862;0
